순위,제목,저자,출판사,가격
272,산 루이스 레이의 다리,손턴 와일더,클레이하우스,"15,300"
273,친구가 상처 줄 때 똑똑하게 나를 지키는 법,이현아,한빛에듀,"15,120"
274,그녀를 지키다,장바티스트 앙드레아,열린책들,"19,800"
275,내가 원하는 것을 나도 모를 때,전승환,북로망스,"19,800"
276,찌그러져도 동그라미입니다,김창완,웅진지식하우스,"16,020"
277,세상의 마지막 기차역,무라세 다케시,모모,"12,600"
278,해커스 JLPT(일본어능력시험)기출단어장 N5-N3,해커스 JLPT 연구소,해커스어학연구소,"12,510"
279,전설로 떠나는 월가의 영웅,피터 린치,국일증권경제연구소,"23,400"
280,관촌수필,이문구,문학과지성사,"15,300"
281,희랍어 시간,한강,문학동네,"11,700"
282,이게 되네? 챗GPT 미친 활용법 71제,오힘찬,골든래빗,"21,600"
283,2025 해커스 투자자산운용사 한권합격 핵심개념+적중문제,백영,해커스금융,"33,210"
284,ETS 토익 단기공략 850+ (LC+RC),ETS,YBM(와이비엠),"17,550"
285,한밤중 하트튠 5,이가라시 마사쿠니,학산문화사,"5,400"
286,남자를 싫어하는 미인 자매를 이름도 알리지 않고 구해주면 어떻게 될까? 6,묭,소미미디어,"9,000"
287,한 권으로 끝내는 해커스 토익 800+ (LC+RC+VOCA),해커스 어학연구소,해커스어학연구소,"15,930"
288,Go Go 카카오프렌즈 36 포르투갈,김미영,아울북,"15,120"
289,장돌이네 떡집,김리리,비룡소,"11,700"
290,침묵의 퍼레이드,히가시노 게이고,재인,"19,620"
291,임신 출산 육아 대백과 최신개정판,,삼성출판사,"17,550"
292,순례 주택,유은실,비룡소,"13,500"
293,삐뽀삐뽀 119 이유식,하정훈,유니책방,"17,010"
294,죄와 벌 1,표도르 도스토예프스키,민음사,"9,900"
295,마당을 나온 암탉,황선미,사계절,"11,520"
296,누구도 대신 살아 주지 않는다,브라이언 트레이시,오픈도어북스,"15,120"
297,나는 왜 아무것도 하기 싫을까,배종빈,포레스트북스,"16,200"
298,현자의 제자를 자칭하는 현자 21,류센 히로츠구,소미미디어,"9,900"
299,굿 에너지,케이시 민스,한국경제신문,"22,500"
300,아홉 살에 시작하는 똑똑한 초등신문 3,신효원,책장속북스,"17,550"
301,결핍은 우리를 어떻게 변화시키는가,센딜 멀레이너선,빌리버튼,"22,320"
302,빅 트레이더의 주도주 매매법,서희파더(이재상),이레미디어,"31,500"
303,시계토끼 기본 토익스피킹,Jenny Cha,시계토끼,"23,400"
304,거꾸로 읽는 세계사,유시민,돌베개,"15,750"
305,2026 써니 행정법총론 행정법으로의 초대,박준철,제이씨에듀,"4,050"
306,오닉스 스톰 1,레베카 야로스,북폴리오,"17,100"
307,"남녀의 우정은 성립할까? (아니, 하지 않아!!) 1",나나나 나나,소미미디어,"7,650"
308,두선생의 지도로 읽는 세계사 : 동양 편,한영준,21세기북스,"21,600"
309,이재명 시대 경제 대예측,매일경제 경제부,매일경제신문사,"19,800"
310,영원의 여름,운,BOOKK(부크크),"8,000"
311,비실비실 선생님 6,후쿠치 카미오,대원,"5,400"
312,대한민국 마지막 기회가 온다,김태유,서울대학교출판문화원,"17,820"
313,영어가 바로 터지는 기적의 말하기 영단어 1000,이시원,시원스쿨닷컴,"8,100"
314,초등일타과학,이광렬,코리아닷컴(Korea.com),"17,010"
315,해커스 JLPT N3(일본어능력시험) 한권합격,해커스 JLPT 연구소,해커스어학연구소,"24,300"
316,아이의 뇌,김붕년,포레스트북스,"16,020"
317,2025 이기적 컴퓨터활용능력 1급 필기+실기 올인원,홍태성,영진닷컴,"36,000"
318,대온실 수리 보고서,김금희,창비,"16,200"
319,제철 행복,김신지,인플루엔셜,"16,020"
320,미움받을 용기 (200만 부 기념 스페셜 에디션),기시미 이치로,인플루엔셜,"14,310"
321,"왜 유명한 거야, 이 그림?",이유리,우리학교,"12,600"
322,JLPT(일본어능력시험) 한권으로 끝내기 N3,이치우,다락원,"24,300"
323,지적 대화를 위한 넓고 얕은 지식 1,채사장,웨일북,"17,100"
324,죄와 벌 2,표도르 도스토예프스키,민음사,"9,900"
325,참을 수 없는 존재의 가벼움,밀란 쿤데라,민음사,"11,700"
326,요리를 한다는 것,최강록,클,"16,200"
327,철도교통안전관리자 10일 완성 기출문제집,황승순,(주)박영사,"26,100"
328,설민석의 세계사 대모험 25,설민석,단꿈아이,"13,500"
329,너를 너무너무너무너무 좋아하는 100명의 그녀 18,나카무라 리키토,학산문화사,"5,400"
330,2025 해커스 LH 한국토지주택공사 NCS+전공 봉투모의고사,해커스 NCS 취업교육연구소,해커스잡,"21,600"
331,낭만 강아지 봉봉 8,홍민정,다산어린이,"12,600"
332,쇼펜하우어 인생수업 2 : 한 번뿐인 삶 이렇게 살아라,쇼펜하우어,하이스트,"15,750"
333,흰,한강,문학동네,"13,050"
334,스쳐지나갈 것들로 인생을 채우지 마라,고은미,한밤의책,"15,300"
335,이동 평균선 투자법,고지로 강사,이레미디어,"15,300"
336,이 지랄맞음이 쌓여 축제가 되겠지,조승리,달,"15,120"
